"WB1","WB2","WB3","EMVI1","EMVI2","EMVI3","EMVI4","TRUST1","TRUST2","TRUST3","TRUST4","FALSE1","FALSE2","FALSE3","PC1","PC2","PC3","PC4","FAIR1","FAIR2","FAIR3","ANX1","ANX2","ANX3","ANX4","INTER1","INTER2","INTER3","DISC1","DISC2","DISC3","AVER1","AVER2","AVER3","Gender","Age","Occupation","Transparency","Control","MC_TRANS1","MC_TRANS2","MC_TRANS3","MC_TRANS4","MC_CON1","MC_CON2","MC_CON3"
2,2,2,4,4,5,5,2,2,2,2,5,3,1,5,5,5,4,4,3,4,5,3,5,5,7,5,7,6,6,6,29,69,49,2,21,2,0,1,1,1,1,2,5,5,3
2,2,2,5,5,6,3,2,2,2,2,2,1,1,6,4,5,4,5,6,5,2,5,1,2,6,7,3,6,6,5,32,70,49,1,21,2,0,0,2,2,4,1,1,2,2
3,3,3,4,5,5,5,3,3,2,1,5,5,3,7,7,5,5,4,3,4,5,5,6,5,6,7,7,5,5,5,28,66,48,2,56,3,1,1,4,5,6,6,7,7,1
2,1,1,4,4,4,4,3,2,3,2,4,3,4,5,5,6,6,4,4,4,5,5,5,3,6,6,6,5,5,4,30,67,48,2,21,2,1,0,5,4,5,7,1,6,6
4,4,4,5,1,2,5,2,2,2,2,4,3,1,6,6,5,5,3,3,4,3,1,1,1,5,6,7,5,5,5,30,65,48,2,21,2,1,0,3,3,3,3,1,1,4
3,3,2,4,4,4,4,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,7,7,7,7,7,5,5,4,29,65,48,2,31,3,1,0,4,4,4,4,3,3,3
4,3,5,2,3,2,3,5,4,4,5,1,1,1,5,7,7,6,5,5,5,5,6,5,6,5,5,5,5,4,6,30,67,49,1,25,2,1,0,5,5,3,6,5,5,5
2,2,2,4,5,6,6,3,5,3,4,5,2,3,5,7,6,6,5,4,5,6,7,6,6,7,7,6,4,4,4,29,68,49,2,31,4,0,1,5,5,2,2,5,4,5
5,6,5,3,3,4,4,5,6,4,4,5,4,5,7,6,5,6,4,5,6,1,3,2,4,6,6,4,5,6,7,31,69,49,2,20,2,1,1,4,5,5,7,5,6,4
4,5,6,4,3,2,2,4,2,3,5,3,2,3,2,5,3,4,5,4,4,4,3,4,3,3,4,5,3,5,6,30,70,48,1,23,2,1,1,5,6,6,7,4,5,6
4,4,5,5,4,4,5,5,5,5,4,1,1,1,5,3,5,5,5,5,6,2,5,2,3,7,7,4,6,6,6,33,69,50,2,24,3,1,0,4,3,3,5,3,5,5
5,6,5,2,2,2,4,5,5,6,4,3,3,2,5,4,6,3,5,5,4,5,4,4,4,7,6,6,4,6,5,34,69,50,2,26,3,0,0,6,4,5,3,2,5,5
2,2,1,5,5,5,6,3,3,2,2,5,2,1,5,4,5,1,5,4,4,5,5,3,4,5,6,7,2,3,1,29,69,50,2,21,2,0,0,2,5,3,4,1,7,6
1,2,1,6,6,7,5,2,2,2,2,4,1,1,6,2,6,4,6,7,7,5,5,3,4,5,5,7,6,6,5,29,69,47,2,21,2,0,0,3,3,3,1,2,5,5
3,3,2,1,1,1,1,6,6,6,6,3,1,1,7,4,7,2,5,7,7,7,7,3,1,7,7,7,6,6,7,30,68,47,2,22,2,1,1,6,5,5,3,1,3,2
5,5,5,4,3,5,4,4,3,3,3,3,1,1,5,4,3,5,5,4,2,5,5,4,3,6,5,6,5,5,4,32,69,49,1,21,2,0,0,3,5,2,3,1,2,2
2,2,2,4,4,4,4,4,4,4,4,3,1,1,2,5,7,4,4,4,4,3,5,5,3,5,5,5,5,4,3,29,65,48,2,24,3,1,0,2,2,2,2,2,4,4
3,2,2,3,7,7,3,1,1,1,1,5,5,4,6,4,7,7,5,5,5,4,3,2,1,7,7,7,5,5,5,29,65,47,2,20,2,0,0,2,2,1,2,6,7,7
1,1,1,5,4,4,4,1,3,4,4,4,4,3,6,7,6,4,4,4,4,5,5,3,4,7,7,7,4,4,4,29,67,48,2,21,2,0,1,3,3,1,1,4,7,5
3,2,1,5,4,5,5,5,4,5,5,4,2,1,6,7,7,6,5,5,5,3,3,2,4,5,5,6,6,5,4,30,69,49,2,22,2,0,0,4,5,5,2,2,5,5
4,3,4,4,4,4,4,5,4,5,4,3,3,2,6,7,7,7,4,4,4,6,5,3,3,5,7,5,4,4,4,30,67,49,4,20,2,1,0,5,5,4,3,2,7,6
3,2,2,5,4,4,2,2,3,2,1,3,3,4,5,6,7,3,5,3,3,4,5,5,3,6,6,6,5,4,2,30,68,49,1,38,5,1,1,5,6,3,7,5,3,6
3,3,3,4,6,6,6,5,5,5,5,1,1,1,6,5,5,3,4,4,5,3,4,3,3,5,5,7,1,1,1,30,68,49,1,20,2,1,0,4,4,7,7,7,7,7
